animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,predicted,probability,correct?
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0.9999999996520643,CORRECT
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,0.9999999838016855,CORRECT
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999991702654,CORRECT
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,0.9999999838016855,CORRECT
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7,0.999997933067464,CORRECT
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0.9999999996520643,CORRECT
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,2,0.9999999999958693,CORRECT
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,1,0.9999999999961909,CORRECT
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0.9999999996520643,CORRECT
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,1,0.999999999999901,CORRECT
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,1,0.999999999974194,CORRECT
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,0.9999999838016855,CORRECT
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,6,0.9999999563015062,CORRECT
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,2,0.9999939847052152,CORRECT
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999991702654,CORRECT
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,7,0.9999979583948987,CORRECT
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999991702654,CORRECT
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999991702654,CORRECT
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0.9999999996520643,CORRECT
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,2,0.9999999579104626,CORRECT
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,0.9999999838016855,CORRECT
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999991702654,CORRECT
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,1,0.9999999999927663,CORRECT
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0.9999999999966792,CORRECT
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,7,0.4589516747092284,wrong
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,0.9221061748233135,CORRECT
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,7,0.9999996082339415,CORRECT
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,4,0.9999989883578181,CORRECT
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,5,0.9996541352624062,CORRECT
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,4,0.9999999957745492,CORRECT
